agent_name,filename,source_role_file,domain,domain_task,role_title,primary_stage,primary_task_id,primary_task_title,primary_task_file,supporting_tasks,model,model_reasoning_effort,sandbox_mode
data_architect_database_architect,agents/data_architect_database_architect.toml,analytical-infrastructure-job-roles.md,Analytical Infrastructure,Entity databases and structured profiles,Data Architect / Database Architect,Collation & Entity Resolution,t6.1,Implementing the POLE Schema,colent/t6.1.md,t2.5 — Establishing the Operational Ontology (oppstrat/t2.5.md); t7.3 — Universal Metadata Tagging (colent/t7.3.md); t8.1 — Subject and Corporate Profiles (colent/t8.1.md),gpt-5.5,medium,read-only
knowledge_graph_engineer_graph_data_engineer,agents/knowledge_graph_engineer_graph_data_engineer.toml,analytical-infrastructure-job-roles.md,Analytical Infrastructure,Entity databases and structured profiles,Knowledge Graph Engineer / Graph Data Engineer,Chronological & Relational Processing,t10.1,Edge List Generation,chronrel/t10.1.md,t6.1 — Implementing the POLE Schema (colent/t6.1.md); t7.3 — Universal Metadata Tagging (colent/t7.3.md); t10.2 — Quantitative Social Network Analysis (SNA) (chronrel/t10.2.md),gpt-5.5,medium,read-only
entity_resolution_analyst,agents/entity_resolution_analyst.toml,analytical-infrastructure-job-roles.md,Analytical Infrastructure,Entity databases and structured profiles,Entity Resolution Analyst,Collation & Entity Resolution,t7.1,Entity Resolution Pipeline (Fellegi-Sunter),colent/t7.1.md,t6.3 — Deterministic Matching for Unique Identifiers (colent/t6.3.md); t7.2 — Probabilistic Matching and Human Review (colent/t7.2.md); t7.3 — Universal Metadata Tagging (colent/t7.3.md),gpt-5.5,high,read-only
investigation_case_manager_case_officer,agents/investigation_case_manager_case_officer.toml,analytical-infrastructure-job-roles.md,Analytical Infrastructure,Case tracking and investigation management,Investigation Case Manager / Case Officer,Intelligence Collection & Epistemic Filtering,t4.1,Enquiry Recording and Assignment,intelepi/t4.1.md,t2.4 — Resource Allocation and Tasking (oppstrat/t2.4.md); t14.1 — Finalising the Case Summary Record (findis/t14.1.md); t14.2 — Maintaining the Dissemination Log (findis/t14.2.md),gpt-5.4-mini,medium,read-only
evidence_coordinator_evidence_custodian,agents/evidence_coordinator_evidence_custodian.toml,analytical-infrastructure-job-roles.md,Analytical Infrastructure,Case tracking and investigation management,Evidence Coordinator / Evidence Custodian,Intelligence Collection & Epistemic Filtering,t5.1,Digital Evidence Hashing,intelepi/t5.1.md,t5.2 — Metadata Preservation and Web Archiving (intelepi/t5.2.md); t5.3 — Maintaining the Source Register (intelepi/t5.3.md); t14.3 — Evidence Vault Archiving (findis/t14.3.md),gpt-5.5,high,read-only
case_management_support_specialist,agents/case_management_support_specialist.toml,analytical-infrastructure-job-roles.md,Analytical Infrastructure,Case tracking and investigation management,Case Management Support Specialist,Operational Direction & Strategic Foundation,t3.4a,Meta-Log and Audit Trail Setup,oppstrat/t3.4a.md,t4.1 — Enquiry Recording and Assignment (intelepi/t4.1.md); t4.2 — Mandatory Recording of Negative Results (intelepi/t4.2.md); t4.3 — Real-Time Policy Deviation Logging (intelepi/t4.3.md),gpt-5.4-mini,low,read-only
intelligence_analyst_reports_officer,agents/intelligence_analyst_reports_officer.toml,analytical-infrastructure-job-roles.md,Analytical Infrastructure,Briefing and reporting formats,Intelligence Analyst / Reports Officer,Final Reporting & Dissemination — Phase 6 Overview,t13.1,Constructing the Bottom Line Up Front (BLUF),findis/t13.1.md,"t13.2 — Structural Separation of Facts, Assumptions, and Judgments (findis/t13.2.md); t13.3 — Applying Standardised Probability Language (ICD 203) (findis/t13.3.md); t13.4 — Mandatory Source Summary Statement (findis/t13.4.md)",gpt-5.4-mini,medium,read-only
intelligence_briefing_officer,agents/intelligence_briefing_officer.toml,analytical-infrastructure-job-roles.md,Analytical Infrastructure,Briefing and reporting formats,Intelligence Briefing Officer,Final Reporting & Dissemination — Phase 6 Overview,t13.1,Constructing the Bottom Line Up Front (BLUF),findis/t13.1.md,t15.1 — Issuing the Findings Memo (findis/t15.1.md); t15.3 — Strategic and Tactical Assessments (NIM) (findis/t15.3.md); t14.2 — Maintaining the Dissemination Log (findis/t14.2.md),gpt-5.4-mini,low,read-only
analytic_editor_intelligence_qa_reviewer,agents/analytic_editor_intelligence_qa_reviewer.toml,analytical-infrastructure-job-roles.md,Analytical Infrastructure,Briefing and reporting formats,Analytic Editor / Intelligence QA Reviewer,Final Reporting & Dissemination — Phase 6 Overview,t13.2,"Structural Separation of Facts, Assumptions, and Judgments",findis/t13.2.md,t13.3 — Applying Standardised Probability Language (ICD 203) (findis/t13.3.md); t13.4 — Mandatory Source Summary Statement (findis/t13.4.md); t15.4 — Legal Disclosure Preparation (UK MG5 Standard) (findis/t15.4.md),gpt-5.4-mini,medium,read-only
crime_intelligence_analyst_link_analysis_analyst,agents/crime_intelligence_analyst_link_analysis_analyst.toml,analytical-infrastructure-job-roles.md,Analytical Infrastructure,Link analysis and network visualisation,Crime Intelligence Analyst / Link Analysis Analyst,Chronological & Relational Processing,t10.1,Edge List Generation,chronrel/t10.1.md,t10.2 — Quantitative Social Network Analysis (SNA) (chronrel/t10.2.md); t10.3 — Visual Grammar Application (chronrel/t10.3.md); t10.4 — Two-Mode Analysis (chronrel/t10.4.md),gpt-5.5,high,read-only
